,entity,schemas,examples,value_type
0,"country,P17","S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S55,S56,S57,S58,S59,S60,S61,S62,S63,S65,S66","Cameroon,Chile,Lebanon,Germany,Kyrgyzstan,Egypt,Indonesia,Poland,Canada,Norway,Pakistan,Finland,Burkina Faso,US,Colombia,Syria,France,Taiwan,Cyprus,Italy,Belarus,New Zealand,Turkey,China",GPE
1,"instance_of,P31","S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65","suicide attack,suicide car bombing,massacre,suicide bombing,car bombing,mass murder,emergency landing,train wreck,election,festival edition,attack,gun violence,fire,aviation accident,election,terror attack,film festival,award,summit,death,battle,explosion,concert,conclave,arson,suicide,performance art,underground nuclear testing,heat wave,belly landing,stampede,rape,cyberattack,beauty contest,social movement,trade fair,prison riot,kidnapping,coup d'état,strike,bombardment,natural disaster,traffic accident,speech,aircraft shootdown,crime,power outage,shipwrecking,derailment,political murder,protest,sport competition,transport accident,referendum,international incident,military strike,riot,extreme weather,structural failure,murder,Impeachment,child murder,hostage crisis,refugee crisis,hurricane,mining accident,ship grounding,peace conference,military operation,news conference,counter-terrorism,train wreck,landslide,theatre festival,earthquake,Pandemic",EVENT
2,"located_in_the_administrative_territorial_entity,P131","S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S11,S12,S13,S14,S17,S18,S20,S21,S24,S26,S32,S33,S34,S36,S37,S39,S40,S41,S42,S43,S44,S46,S47,S49,S50,S52,S53,S56,S59,S60,S61,S62,S63,S65","Berlin,Tuusula,TUUSULA,Nice,San Bernardino,Seattle,Eiffel Tower,Japan,Canada,South Holland,Columbus,Glasgow City,Wales,Toronto,Hyderabad,Newtown,Mitte",GPE
3,"location,P276","S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S65,S66","Brussels airport,Oslo,the Central African Republic,Connecticut elementary school,Jakarta,Ankara,Ouagadougou,Warsaw international airport,Jokela school,Jokela High School,ALGIERS,Algiers,Warsaw airport,capital,Bucharest,Istanbul,Carbost,Pacific Ocean,Mediterranean Sea,Barcaldine,Melbourne Grand Prix Circuit",
4,"organizer,P664","S0,S5,S7,S9,S13,S23,S26,S30,S41,S42,S44,S50,S60","International Ski Federation,European Union of Gymnastics,Major League Baseball,International Olympic Committee,French Football Federation,FC Barcelona,European Volleyball Confederation,IndyCar,Association of Tennis Professionals,Football Association of Iceland,Russian Football Union,World Rowing Federation,American Automobile Association,CONMEBOL,Arab League,",ORG
5,"located_at_street_address_(DEPRECATED),P969","S0,S61",,
6,"Twitter_hashtag,P2572","S0,S3,S5,S6,S7,S8,S9,S36,S40","ARIAs,SOTEU,PornoTube,fmdk,gareNantes,SparkasseWitten,ISIS,YoshiMuroya,APB2015,sufi,ParisVersailles,lgm,VC2016,Charrues17,Trans2015,TunnelToulon,haemotolangia,
Sextube,Midterms2018,PLF2016,gunnerworld",ORG
7,"founded_by,P112","S0,S7,S60","Isabella Stewart Gardner,Zephaniah Swift Moore,Henri Vaugeois,Maurice Pujo,Edward Raczyński,Honda,Intel,Chung Ju-yung,Chung Ju-yung,Samuel Hahnemann,Irving Stowe,Sur Empire,Lyndon LaRouche,Sunil Mittal,
George Allen",PERSON
8,"genre,P136","S0,S7,S24","fantasy film,fairy tale,portrait painting.history painting,science fiction,opera,Romantic music,drama,folk rock,country rock,blues,jazz,comedy,manifesto,equestrian statue,lyric poetry,satirical newspapers,adventure novel,courtly romance,action thriller","WORK_OF_ART	"
9,"participant,P710","S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S14,S15,S21,S22,S28,S29,S31,S34,S35,S36,S38,S40,S42,S45,S46,S47,S50,S53,S57,S58,S59,S60,S61","Hassan Turkmani,Sweden,Dutch Republic,Kingdom of France,Wig Wam,Vanilla Ninja,Jakob Sveistrup,Natalia Podolskaya,Martin Stenmarck,Javine Hylton,
Marie Ortal Malka,Rona Nishliu,Homare Sawa,Uganda,Rwanda,Russian Empire,David Cameron",PERSON+GPE
10,"different_from,P1889","S0,S7","China,calculator,World Wide Web,Limburg,Beaujolais,Neil Young,Hermann Brunner,Tripura,Uttarakhand,1912,1971,Sloboda,Chazelles,SCC Berlin,Georgia,olympiad,rugby league,Klingon",PERSON+GPE+ORG+DATE
11,"award_received,P166",S0,"Academy Award for Best Actress,National Medal of Arts,Donostia Award,Theatre World Award,New Jersey Hall of Fame,Presidential Medal of Freedom,Kennedy Center Honors,Academy Awards,Golden Globe Award,Screen Actors Guild Award,Emmy Award,Silver Bear,Stalin Prize,Nobel Peace Prize,Fritt Ord Award,Humanist of the Year",PERSON+WORK_OF_ART
