article,schema,,ground_truth_entity,ground_truth_quantity,annotated_entity,annotated_quantity,correct_entity,correct_quantity,entity  statistics,quantity statistics
afp.com-20050707T230634Z-TX-SGE-KDR17,S6,Q10818,0,2,0,0,0,0,128,32
afp.com-20070411T101355Z-TX-SGE-NUP10,S6,Q2870018,2,1,2,2,2,1,133,43
afp.com-20070411T193200Z-TX-SGE-OAC45,S6,Q2870018,1,2,1,0,1,0,133,87
afp.com-20071107T120829Z-TX-SGE-RXA76,S2,Q600836,3,1,2,0,2,0,eneity precision,quantity precision
afp.com-20071227T135800Z-TX-SGE-NRB21,S6,Q1784968,3,0,3,0,3,0,0.962406015,0.744186047
afp.com-20110722T140949Z-TX-PAR-BIJ87,S6,Q79967,2,1,2,0,2,0,entity racall,quantity recall
afp.com-20110722T144937Z-TX-PAR-BIO09,S2,Q11961850,2,1,2,0,2,0,0.962406015,0.367816092
afp.com-20110722T144937Z-TX-PAR-BIO09,S6,Q79967,2,1,2,0,2,0,,
afp.com-20110722T173501Z-TX-PAR-BJG11,S6,Q3377611,1,1,0,0,0,0,,
afp.com-20110722T174547Z-TX-PAR-BJH36,S40,Q79967,1,1,1,0,1,0,,
afp.com-20111101T145537Z-TX-PAR-PAE54,S20,Q2054084,3,0,3,0,3,0,,
afp.com-20120304T121926Z-TX-PAR-KYF07,S62,Q616985,1,2,1,2,1,2,,
afp.com-20120718T092820Z-TX-PAR-IIC75,S6,Q2869985,1,0,1,0,1,0,,
afp.com-20120718T113427Z-TX-PAR-IIS48,S6,Q2869985,0,0,0,0,0,0,,
afp.com-20120718T143514Z-TX-PAR-IJO47,S6,Q2869985,1,0,1,0,1,0,,
afp.com-20120718T190918Z-TX-PAR-IKT54,S6,Q2869985,0,0,0,0,0,0,,
afp.com-20121214T180730Z-TX-PAR-GOO21,S2,Q906933,3,1,4,1,2,1,,
afp.com-20121214T180730Z-TX-PAR-GOO21,S6,Q906933,3,1,5,1,3,1,,
afp.com-20130217T161939Z-TX-PAR-NDB45,S5,Q1152973,2,0,2,0,2,0,,
afp.com-20130413T161539Z-TX-PAR-SWR96,S46,Q15287550,1,0,1,0,1,0,,
afp.com-20130703T170428Z-TX-PAR-HBI58,S29,Q13605743,0,0,0,0,0,0,,
afp.com-20130703T192239Z-TX-PAR-HBT94,S41,Q13605743,0,0,0,0,0,0,,
afp.com-20130712T163918Z-TX-PAR-HXM36,S62,Q13835935,1,2,1,2,1,1,,
afp.com-20141020T234147Z-TX-PAR-KTL12,S12,Q8929770,0,0,0,0,0,0,,
afp.com-20141022T173411Z-TX-PAR-KYH19,S2,Q18338238,0,0,0,0,0,0,,
afp.com-20141216T070012Z-TX-PAR-PXC99,S6,Q19543028,0,0,0,0,0,0,,
afp.com-20150107T113343Z-TX-PAR-RJA47,S6,Q18718876,1,1,1,2,1,1,,
afp.com-20150107T122601Z-TX-PAR-RJF09,S53,Q18748338,0,1,0,0,0,0,,
afp.com-20150419T171020Z-TX-PAR-GVJ21,S5,Q2112415,2,0,2,0,2,0,,
afp.com-20150816T145119Z-TX-PAR-QSX79,S4,Q20823597,1,1,1,2,1,1,,
afp.com-20150821T185154Z-TX-PAR-RDQ19,S31,Q20857086,1,1,1,1,1,1,,
afp.com-20150826T232713Z-TX-PAR-ROW02,S50,Q20873020,0,1,0,1,0,1,,
afp.com-20151011T225827Z-TX-PAR-BNO08,S5,Q18691679,4,0,4,0,4,0,,
afp.com-20151030T232123Z-TX-PAR-DEE03,S3,Q21282871,2,1,2,0,2,0,,
afp.com-20151030T232123Z-TX-PAR-DEE03,S21,Q21282871,2,1,2,0,2,0,,
afp.com-20151031T134404Z-TX-PAR-DES35,S6,Q21282782,1,1,1,1,1,1,,
afp.com-20151112T171437Z-TX-PAR-EFI81,S6,Q21470354,1,2,1,1,1,1,,
afp.com-20151114T163711Z-TX-PAR-EKO88,S62,Q21482333,0,1,0,0,0,0,,
afp.com-20151120T084756Z-TX-PAR-EXJ89,S53,Q21516923,0,0,0,0,0,0,,
afp.com-20151202T211000Z-TX-PAR-FXS18,S6,Q21613643,1,1,1,2,1,1,,
afp.com-20160116T001939Z-TX-PAR-IYX24,S53,Q22082207,2,2,2,0,2,0,,
afp.com-20160116T005437Z-TX-PAR-IYX69,S61,Q22082207,2,2,2,0,2,0,,
afp.com-20160206T082214Z-TX-PAR-KQU08,S65,Q22662663,1,1,1,0,1,0,,
afp.com-20160206T160931Z-TX-PAR-KRI89,S65,Q22662663,1,2,1,0,1,0,,
afp.com-20160209T101729Z-TX-PAR-KVT49,S39,Q22673778,1,2,1,0,1,0,,
afp.com-20160614T102923Z-TX-PAR-AHC40,S1,Q24576744,1,0,1,0,1,0,,
afp.com-20160614T102923Z-TX-PAR-AHC40,S53,Q24576744,1,0,1,0,1,0,,
afp.com-20160616T161139Z-TX-PAR-AMV12,S1,Q24661988,2,0,2,0,2,0,,
afp.com-20160714T215648Z-TX-PAR-CPO68,S53,Q25893254,1,1,1,1,1,1,,
afp.com-20160824T054733Z-TX-PAR-FME63,S65,Q26689701,1,2,1,2,1,2,,
afp.com-20160824T231707Z-TX-PAR-FNU93,S65,Q26689701,1,1,1,0,1,0,,
afp.com-20161130T063457Z-TX-PAR-MDX31,S4,Q27925924,1,2,1,3,1,2,,
afp.com-20161208T051046Z-TX-PAR-MTH88,S4,Q100021,1,1,1,1,1,1,,
afp.com-20161219T205609Z-TX-PAR-NNZ79,S53,Q28036573,2,2,2,1,2,1,,
afp.com-20170101T010009Z-TX-PAR-AUI41,S7,Q28094271,2,1,2,0,2,0,,
afp.com-20170101T010009Z-TX-PAR-AUI41,S9,Q28094271,2,1,2,0,2,0,,
afp.com-20170108T071808Z-TX-PAR-AZL24,S33,Q28148488,1,2,1,1,1,1,,
afp.com-20170116T112152Z-TX-PAR-BGQ97,S4,Q952728,1,1,1,2,1,1,,
afp.com-20141022T183020Z-TX-PAR-KYK55,S2,Q18338238,1,0,1,0,1,0,,
afp.com-20160122T220722Z-TX-PAR-JNP23,S2,Q22241734,1,1,1,0,1,0,,
afp.com-20151030T225705Z-TX-PAR-DED48,S3,Q21282871,2,1,2,0,2,0,,
afp.com-20110302T110207Z-TX-PAR-AET53,S4,Q17934259,2,0,2,0,2,0,,
afp.com-20111101T145537Z-TX-PAR-PAE54,S4,Q2054084,3,0,3,1,3,0,,
afp.com-20140308T002042Z-TX-PAR-JXD09,S4,Q15908324,1,1,1,2,1,1,,
afp.com-20100530T071026Z-TX-PAR-AHK93,S5,Q1124504,3,0,3,0,3,0,,
afp.com-20100621T074603Z-TX-PAR-DSE36,S5,Q1124504,5,0,5,0,5,0,,
afp.com-20120617T063358Z-TX-PAR-ENF82,S5,Q1164616,0,0,0,0,0,0,,
afp.com-20161219T205609Z-TX-PAR-NNZ79,S6,Q28036573,2,2,2,1,2,1,,
afp.com-20150724T030906Z-TX-PAR-OZR60,S6,Q20727461,1,1,1,0,1,0,,
afp.com-20150817T162747Z-TX-PAR-QUV03,S6,Q20826727,1,2,1,2,1,1,,
afp.com-20150821T185154Z-TX-PAR-RDQ19,S6,Q20857086,1,1,1,1,1,1,,
afp.com-20151010T155109Z-TX-PAR-BLL14,S6,Q21083277,1,1,1,1,1,1,,
afp.com-20151120T082059Z-TX-PAR-EXI81,S6,Q21516923,0,0,0,0,0,0,,
afp.com-20160112T100734Z-TX-PAR-IPY05,S6,Q22039066,2,2,1,2,1,2,,
afp.com-20160114T040657Z-TX-PAR-IUF12,S6,Q22067779,1,0,0,0,0,0,,
afp.com-20160116T000314Z-TX-PAR-IYW86,S6,Q22082207,2,0,2,0,2,0,,
afp.com-20160221T095436Z-TX-PAR-LUN38,S6,Q22910769,1,1,1,0,1,0,,
afp.com-20160313T172725Z-TX-PAR-NLX58,S6,Q23045905,0,1,0,0,0,0,,
afp.com-20160322T114148Z-TX-PAR-OEJ26,S6,Q23365300,1,1,1,0,1,0,,
afp.com-20160325T171438Z-TX-PAR-OLX23,S6,Q23542317,0,1,0,0,0,0,,
afp.com-20160623T200504Z-TX-PAR-BBQ79,S6,Q24736260,0,0,0,0,0,0,,
afp.com-20111101T170544Z-TX-PAR-PAQ73,S20,Q2054084,4,0,4,0,4,0,,
afp.com-20151030T225705Z-TX-PAR-DED48,S21,Q21282871,2,1,2,0,2,0,,
afp.com-20130703T214842Z-TX-PAR-HCA91,S29,Q13605743,0,0,0,0,0,0,,
afp.com-20170108T064047Z-TX-PAR-AZK97,S33,Q28148488,1,2,1,0,1,0,,
afp.com-20151114T160023Z-TX-PAR-EKM41,S39,Q21482333,0,1,1,0,0,0,,
afp.com-20160616T152336Z-TX-PAR-AMR30,S40,Q24661988,0,0,0,0,0,0,,
afp.com-20130703T214842Z-TX-PAR-HCA91,S41,Q13605743,0,0,0,0,0,0,,
afp.com-20161219T202638Z-TX-PAR-NNY40,S50,Q28036166,2,0,2,0,2,0,,
afp.com-20141216T073822Z-TX-PAR-PXF00,S53,Q19543028,0,0,0,0,0,0,,
afp.com-20160116T005437Z-TX-PAR-IYX69,S53,Q22082207,1,2,1,0,1,0,,
afp.com-20170101T005309Z-TX-PAR-AUI35,S53,Q28094271,4,2,4,1,4,1,,
afp.com-20071107T195926Z-TX-SGE-SCT49,S53,Q600836,6,1,6,0,6,0,,
afp.com-20141216T074546Z-TX-PAR-PXF52,S53,Q18641076,1,2,1,0,1,0,,
afp.com-20160116T015744Z-TX-PAR-IYY62,S61,Q22082207,2,1,2,0,2,0,,
afp.com-20161021T180303Z-TX-PAR-JMR63,S62,Q27500955,1,0,1,0,1,0,,
afp.com-20150917T163738Z-TX-PAR-TLV09,S65,Q20978169,1,2,1,3,1,2,,
afp.com-20110613T033413Z-TX-PAR-PYY44,S65,Q2801192,1,1,1,0,1,0,,
afp.com-20060527T085850Z-TX-SGE-AUH95,S65,Q867691,2,2,2,0,2,0,,
